,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Gaetz, Matt",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Dunn, Neal",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Yoho, Ted",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Rutherford, John",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Lawson, Al",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"DeSantis, Ron",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Murphy, Stephanie",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Posey, Bill",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Soto, Darren",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Demings, Val",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Webster, Daniel",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Bilirakis, Gus M.",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Crist, Charlie",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Castor, Kathy",D,House,,,,,,,,,,,,,
"Ross, Dennis",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Buchanan, Vern",R,House,,,,,,,,,,,,,
"Rooney, Tom",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Mast, Brian",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Rooney, Francis",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Hastings, Alcee L.",D,House,,,,,,,,,,,,,
"Frankel, Lois",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Deutch, Ted",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Wasserman Schultz, Debbie",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Wilson, Frederica",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
